基準日,基準価額,前日比,純資産総額,直近決算日,直近分配金,分配金再投資基準価額
20180831,10001.00,0,100009998,00000000,0,10001
20180903,10024.00,23,100235917,00000000,0,10024
20180904,10032.00,8,119870781,00000000,0,10032
20180905,10033.00,1,119881024,00000000,0,10033
20180906,9879.00,-154,141803650,00000000,0,9879
20180907,9724.00,-155,144892231,00000000,0,9724
20180910,9726.00,2,155234625,00000000,0,9726
20180911,9804.00,78,163325326,00000000,0,9804
20180912,9888.00,84,186641153,00000000,0,9888
20180913,9845.00,-43,222947710,00000000,0,9845
20180914,10008.00,163,255379851,00000000,0,10008
20180918,9812.00,-196,260011987,00000000,0,9812
20180919,9934.00,122,291304879,00000000,0,9934
20180920,9934.00,0,311449226,00000000,0,9934
20180921,10065.00,131,325442295,00000000,0,10065
20180925,10071.00,6,351619146,00000000,0,10071
20180926,10077.00,6,358254837,00000000,0,10077
20180927,10079.00,2,374652050,00000000,0,10079
20180928,10226.00,147,393740325,00000000,0,10226
20181001,10254.00,28,396955353,00000000,0,10254
20181002,10282.00,28,404428544,00000000,0,10282
20181003,10224.00,-58,417711647,00000000,0,10224
20181004,10309.00,85,426279286,00000000,0,10309
20181005,10085.00,-224,416411161,00000000,0,10085
20181009,9802.00,-283,417692374,00000000,0,9802
20181010,9840.00,38,425718306,00000000,0,9840
20181011,9343.00,-497,422739436,00000000,0,9343
20181012,9224.00,-119,427975482,00000000,0,9224
20181015,9461.00,237,444125247,00000000,0,9461
20181016,9334.00,-127,438949806,00000000,0,9334
20181017,9654.00,320,461385852,00000000,0,9654
20181018,9680.00,26,450680566,00000000,0,9680
20181019,9428.00,-252,453541957,00000000,0,9428
20181022,9428.00,0,456082293,00000000,0,9428
20181023,9500.00,72,463893798,00000000,0,9500
20181024,9441.00,-59,465975214,00000000,0,9441
20181025,8974.00,-467,447196330,00000000,0,8974
20181026,9315.00,341,463887186,00000000,0,9315
20181029,9040.00,-275,456463677,00000000,0,9040
20181030,8898.00,-142,445255841,00000000,0,8898
20181031,9102.00,204,465295988,00000000,0,9102
20181101,9278.00,176,478331764,00000000,0,9278
20181102,9407.00,129,488678683,00000000,0,9407
20181105,9291.00,-116,486429338,00000000,0,9291
20181106,9267.00,-24,492214082,00000000,0,9267
20181107,9330.00,63,500531374,00000000,0,9330
20181108,9662.00,332,519745973,00000000,0,9662
20181109,9634.00,-28,521603572,00000000,0,9634
20181112,9463.00,-171,531227840,00000000,0,9463
20181113,9156.00,-307,514051220,00000000,0,9156
20181114,9187.00,31,505518638,00000000,0,9187
20181115,9094.00,-93,503167224,00000000,0,9094
20181116,9253.00,159,515997487,00000000,0,9253
20181119,9145.00,-108,518304291,00000000,0,9145
20181120,8844.00,-301,504400071,00000000,0,8844
20181121,8704.00,-140,499656062,00000000,0,8704
20181122,8783.00,79,510611513,00000000,0,8783
20181126,8715.00,-68,516490619,00000000,0,8715
20181127,8953.00,238,530555993,00000000,0,8953
20181128,9006.00,53,530409825,00000000,0,9006
20181129,9282.00,276,546978250,00000000,0,9282
20181130,9239.00,-43,546725407,00000000,0,9239
20181203,9319.00,80,550910985,00000000,0,9319
20181204,9478.00,159,560811472,00000000,0,9478
20181205,9057.00,-421,546632520,00000000,0,9057
20181206,9062.00,5,547983201,00000000,0,9062
20181207,9112.00,50,550994249,00000000,0,9112
20181210,8791.00,-321,534977287,00000000,0,8791
20181211,8930.00,139,546221448,00000000,0,8930
20181212,8993.00,63,548131896,00000000,0,8993
20181213,9062.00,69,554817008,00000000,0,9062
20181214,9079.00,17,558149178,00000000,0,9079
20181217,8848.00,-231,547624514,00000000,0,8848
20181218,8596.00,-252,533892000,00000000,0,8596
20181219,8625.00,29,538081918,00000000,0,8625
20181220,8422.00,-203,522435593,00000000,0,8422
20181221,8214.00,-208,510387963,00000000,0,8214
20181225,7664.00,-550,474409565,00000000,0,7664
20181226,7707.00,43,472131877,00000000,0,7707
20181227,8221.00,514,503636599,00000000,0,8221
20181228,8244.00,23,511663441,00000000,0,8244
20190104,7826.00,-418,492874051,00000000,0,7826
20190107,8226.00,400,522088726,00000000,0,8226
20190108,8343.00,117,538386703,00000000,0,8343
20190109,8412.00,69,545162955,00000000,0,8412
20190110,8440.00,28,552167883,00000000,0,8440
20190111,8486.00,46,559677551,00000000,0,8486
20190115,8374.00,-112,554533899,00000000,0,8374
20190116,8541.00,167,567129436,00000000,0,8541
20190117,8581.00,40,574315347,00000000,0,8581
20190118,8682.00,101,583251841,00000000,0,8682
20190121,8790.00,108,592464582,00000000,0,8790
20190122,8792.00,2,595518883,00000000,0,8792
20190123,8600.00,-192,582530821,00000000,0,8600
20190124,8615.00,15,594426111,00000000,0,8615
20190125,8687.00,72,600947982,00000000,0,8687
20190128,8758.00,71,609391645,00000000,0,8758
20190129,8636.00,-122,603029859,00000000,0,8636
20190130,8573.00,-63,602198608,00000000,0,8573
20190131,8757.00,184,616399645,00000000,0,8757
20190201,8884.00,127,628145370,00000000,0,8884
20190204,8894.00,10,629587806,00000000,0,8894
20190205,9044.00,150,647126011,00000000,0,9044
20190206,9108.00,64,655289906,00000000,0,9108
20190207,9090.00,-18,655732845,00000000,0,9090
20190208,8959.00,-131,646919421,00000000,0,8959
20190212,9026.00,67,632707740,00000000,0,9026
20190213,9159.00,133,641659246,00000000,0,9159
20190214,9201.00,42,647995760,00000000,0,9201
20190215,9167.00,-34,650526671,00000000,0,9167
20190218,9215.00,48,660136765,00000000,0,9215
20190219,9213.00,-2,661202255,00000000,0,9213
20190220,9249.00,36,663771010,00000000,0,9249
20190221,9244.00,-5,671546258,00000000,0,9244
20190222,9216.00,-28,670494531,00000000,0,9216
20190225,9285.00,69,675958435,00000000,0,9285
20190226,9338.00,53,682843238,00000000,0,9338
20190227,9311.00,-27,682356194,00000000,0,9311
20190228,9329.00,18,684401675,00000000,0,9329
20190301,9364.00,35,691033274,00000000,0,9364
20190304,9470.00,106,696871390,00000000,0,9470
20190305,9461.00,-9,702382450,00000000,0,9461
20190306,9454.00,-7,702224184,00000000,0,9454
20190307,9394.00,-60,697782783,00000000,0,9394
20190308,9271.00,-123,689181555,00000000,0,9271
20190311,9205.00,-66,684707427,00000000,0,9205
20190312,9440.00,235,694783818,00000000,0,9440
20190313,9476.00,36,696038807,00000000,0,9476
20190314,9548.00,72,702537932,00000000,0,9548
20190315,9586.00,38,706602063,00000000,0,9586
20190318,9644.00,58,711151422,00000000,0,9644
20190319,9644.00,0,713148277,00000000,0,9644
20190320,9703.00,59,719424232,00000000,0,9703
20190322,9814.00,111,729203208,00000000,0,9814
20190325,9525.00,-289,706754933,00000000,0,9525
20190326,9533.00,8,680769639,00000000,0,9533
